District,Tehsil,Village,Village Code,Google Drive Link,update time and date 
Ambala,Ambala Cantt.,Dhanyouda,101369,,
Ambala,Ambala Cantt.,Tharwa,101370,,
Ambala,Ambala Cantt.,Majri,101371,,
Ambala,Ambala Cantt.,Khudda Kalan,101372,,
Ambala,Ambala Cantt.,Saphera,101373,,
Ambala,Ambala Cantt.,Pilkhani,101374,,
Ambala,Ambala Cantt.,Dukheri,101375,,
Ambala,Ambala Cantt.,Kardhan,101376,,
Ambala,Ambala Cantt.,Bara,101377,,
Ambala,Ambala Cantt.,Mohra,101378,,
Ambala,Ambala Cantt.,Shahpur,101379,,
Ambala,Ambala Cantt.,Khatoli,101380,,
Ambala,Ambala Cantt.,Barnala,101381,,
Ambala,Ambala Cantt.,Dhankour,101382,,
Ambala,Ambala Cantt.,Kalarheri,101383,,
Ambala,Ambala Cantt.,Janetpur,101384,,
Ambala,Ambala Cantt.,Tundli,101385,,
Ambala,Ambala Cantt.,Rawalan,101386,,
Ambala,Ambala Cantt.,Sahabpura,101387,,
Ambala,Ambala Cantt.,Fajailpur,101388,,
Ambala,Ambala Cantt.,Dhanyoudi,101389,,
Ambala,Ambala Cantt.,Kot Kachhuwa Khurd,101390,,
Ambala,Ambala Cantt.,Ojlan,101391,,
Ambala,Ambala Cantt.,Babaheri,101392,,
Ambala,Ambala Cantt.,Dhurali,101393,,
Ambala,Ambala Cantt.,Kot Kachhuwa Kalan,101394,,
Ambala,Ambala Cantt.,Mirjapur,101395,,
Ambala,Ambala Cantt.,Rangiaya,101396,,
Ambala,Ambala Cantt.,Khuddi,101397,,
Ambala,Ambala Cantt.,Khudda Khurd,101398,,
Ambala,Ambala Cantt.,Salarheri,101399,,
Ambala,Ambala Cantt.,Rattanheri,101400,,
Ambala,Ambala Cantt.,BILPURA,101401,,
Ambala,Ambala Cantt.,Kapuri,101402,,
Ambala,Ambala Cantt.,Munerheri,101403,,
Ambala,Ambala Cantt.,Brahaman Majra,101404,,
Ambala,Ambala Cantt.,Mangli,101405,,
Ambala,Ambala Cantt.,Chandpura,101406,,
Ambala,Ambala Cantt.,Sarsheri,101407,,
Ambala,Ambala Cantt.,Rampur,101408,,
Ambala,Ambala Cantt.,Khojkipur,101409,,
Ambala,Ambala Cantt.,Nanhera,101410,,
Ambala,Ambala Cantt.,Gasitpur,101411,,
Ambala,Ambala Cantt.,Machounda,101412,,
Ambala,Ambala Cantt.,,101413,,
Ambala,Ambala Cantt.,Farauli,101414,,
Ambala,Ambala Cantt.,Shekh Majra,101415,,
Ambala,Ambala Cantt.,Machhaundi,101416,,
Ambala,Ambala Cantt.,Bohawa,101417,,
Ambala,Ambala Cantt.,BOH,101418,,
Ambala,Ambala Cantt.,Ramgarh urf Sarifpur,101419,,
Bhiwani,Bhiwani,Mundhal,101420,,
Bhiwani,Bhiwani,Mundhal,101421,,
Bhiwani,Bhiwani,Mundhal,101422,,
Bhiwani,Bhiwani,Mundhal,101423,,
Bhiwani,Bhiwani,Mundhal,101424,,
Bhiwani,Bhiwani,Mundhal,101425,,
Bhiwani,Bhiwani,Mundhal,101426,,
Bhiwani,Bhiwani,Mundhal,101427,,
Bhiwani,Bhiwani,Mundhal,101428,,
Bhiwani,Bhiwani,Mundhal,101429,,
Bhiwani,Bhiwani,Mundhal,101430,,
Bhiwani,Bhiwani,Mundhal,101431,,
Bhiwani,Bhiwani,Mundhal,101432,,
Bhiwani,Bhiwani,Sai,101433,,
Bhiwani,Bhiwani,Rewari Khera,101434,,
Bhiwani,Bhiwani,Chang,101435,,
Bhiwani,Bhiwani,Mithathal,101436,,
Bhiwani,Bhiwani,Ghuskani,101437,,
Bhiwani,Bhiwani,Gujrani,101438,,
Bhiwani,Bhiwani,Palwas,101439,,
Bhiwani,Bhiwani,Badesara,101440,,
Bhiwani,Bhiwani,Bhiwani Jonpal,101441,,
Bhiwani,Bhiwani,Dhana Ladanpur,101442,,
Bhiwani,Bhiwani,Dhana Narsan,101443,,
Bhiwani,Bhiwani,Nandgaon,101444,,
Bhiwani,Bhiwani,Rupgarh,101445,,
Bhiwani,Bhiwani,Nimriwali,101446,,
Bhiwani,Bhiwani,Goripur,101447,,
Bhiwani,Bhiwani,Manheru,101448,,
Bhiwani,Bhiwani,Nangal,101449,,
Bhiwani,Bhiwani,Bhiwani Lohar,101450,,
Bhiwani,Bhiwani,Tigari,101451,,
Bhiwani,Bhiwani,Tigrana,101452,,
Bhiwani,Bhiwani,Bapora,101453,,
Bhiwani,Bhiwani,Biran,101454,,
Bhiwani,Bhiwani,Dinod,101455,,
Bhiwani,Bhiwani,Jui Kalan,101456,,
Bhiwani,Bhiwani,Hetampura,101457,,
Bhiwani,Bhiwani,Legha Hetwan,101458,,
Bhiwani,Bhiwani,Bhangarh,101459,,
Bhiwani,Bhiwani,Golagarh,101460,,
Bhiwani,Bhiwani,Jui Khurd,101461,,
Bhiwani,Bhiwani,Dhangar,101462,,
Bhiwani,Bhiwani,Pohkarwas,101463,,
Bhiwani,Bhiwani,Devsar,101464,,
Bhiwani,Bhiwani,Lohani,101465,,
Bhiwani,Bhiwani,Kohar,101466,,
Bhiwani,Bhiwani,Kasumbhi,101467,,
Bhiwani,Bhiwani,Rajgarh,101468,,
Bhiwani,Bhiwani,Asalwas Marehta,101469,,
Bhiwani,Bhiwani,Mundhal Khurd,101470,,
Bhiwani,Bhiwani,Mundhal Kalan,101471,,
Bhiwani,Bhiwani,Talu,101472,,
Bhiwani,Bhiwani,Dhanana,101473,,
Bhiwani,Bhiwani,Mandhana,101474,,
Bhiwani,Bhiwani,Kaluwas,101475,,
Bhiwani,Bhiwani,Ninan,101476,,
Bhiwani,Bhiwani,Kaunt,101477,,
Bhiwani,Bhiwani,Ajeetpura,101478,,
Bhiwani,Bhiwani,Pahladgarh,101479,,
Bhiwani,Bhiwani,Mandhmadhvi,101480,,
Bhiwani,Bhiwani,Umrawat,101481,,
Bhiwani,Bhiwani,Prem Nagar,101482,,
Bhiwani,Bhiwani,Rajpura Kharkri,101483,,
Bhiwani,Bhiwani,Nathuwas,101484,,
Bhiwani,Bhiwani,Badala,101485,,
Bhiwani,Bhiwani,Dhani Brahmanan,101486,,
Bhiwani,Bhiwani,Jitwanwas,101487,,
